agency_id,agency_name,level
stormwater-management-commission-smc,Stormwater Management Commission (SMC),State/Regional
u-s-department-of-transportation-usdot,U.S. Department of Transportation (USDOT),Federal
federal-emergency-management-agency-fema,Federal Emergency Management Agency (FEMA),Federal
u-s-department-of-transportation-usdot-via-cmap,U.S. Department of Transportation (USDOT) via CMAP,Federal
u-s-environmental-protection-agency-epa,U.S. Environmental Protection Agency (EPA),Federal
u-s-department-of-energy-doe,U.S. Department of Energy (DOE),Federal
