program_id,program_name,agency_id,cfda,focus_area
stormwater-improvement-and-implementation-program-siip,Stormwater Improvement and Implementation Program (SIIP),stormwater-management-commission-smc,15.999,Stormwater / Environmental
rebuilding-american-infrastructure-with-sustainability-and-equity-raise,Rebuilding American Infrastructure with Sustainability and Equity (RAISE),u-s-department-of-transportation-usdot,20.933,Transportation / Active Mobility
building-resilient-infrastructure-and-communities-bric,Building Resilient Infrastructure and Communities (BRIC),federal-emergency-management-agency-fema,97.047,Resilience / Climate Mitigation
congestion-mitigation-and-air-quality-improvement-cmaq,Congestion Mitigation and Air Quality Improvement (CMAQ),u-s-department-of-transportation-usdot-via-cmap,20.205,Transportation / Air Quality
assistance-to-firefighters-grant-afg,Assistance to Firefighters Grant (AFG),federal-emergency-management-agency-fema,97.044,Public Safety / Equipment
brownfields-assessment-grant,Brownfields Assessment Grant,u-s-environmental-protection-agency-epa,66.818,Environmental / Redevelopment
energy-efficiency-and-conservation-block-grant-eecbg,Energy Efficiency and Conservation Block Grant (EECBG),u-s-department-of-energy-doe,81.128,Energy / Sustainability
